Company ID,Company Name,Total Jobs,Total CVs,Total Revenue
3843431,Skyline Windows,60,6,15000
3843120,"Dynamic Glass, LLC",16,0,18000
3843228,"CT Windows, LLC dba Architectural Aluminum Techniques",17,0,12000
3845465,Palmetto State Glass,4,0,0
3845521,Rockwool (UK),0,0,0
3843957,Area Glass Inc- Commercial Glazing,0,0,0
4283598,"KCI Technologies, Inc.",1,0,0
3848222,Staley Steel LLC,1,0,0
3846771,Zentia - UK,4,0,21500
3847411,Limitless Automatics & Doors,1,2,0
4687456,Evolution Glass Inc.,4,0,0
3843915,Henry Company,5,0,0
8252818,Power Control Ltd,0,0,0
3844478,American Products Inc.,0,0,0
8252521,Riello UPS,0,0,0
3848079,Reflection Window + Wall,3,0,0
8252708,KOHLER Power Systems EMEA,0,0,0
8252777,HD Hyundai Electric Co. Ltd.,0,0,0
8304174,Goodman,0,0,0
8601476,Holcim,5,0,0
3843625,Larson Engineering,4,0,0
8252634,Toshiba Corporation,0,0,0
4975167,EAE Group,0,0,0
3844468,Eaton,54,12,151520
8252623,RMS Energy Co LLC,0,0,0
3862639,RESA Power,2,0,0
8252612,Hollingsworth & Vose,1,0,0
8252635,Trystar,0,0,0
8252611,Elcom International Pvt. Ltd.,0,0,0
4866395,DC Group,1,0,0
7916051,HIMOINSA,0,0,0
3843673,Kovach,2,0,0
8252633,TMC TRANSFORMERS,0,0,0
8252479,SALICRU,0,0,0
8251220,365 Data Centers,0,0,0
8252637,Virginia Transformer Corp,0,0,0
8251017,Hetzner Online,0,0,0
8250763,Reboot Monkey,0,0,0
8250696,Eurofiber DC,0,0,0
8252697,MENNEKES,0,0,0
8250673,Telecentras,0,0,0
3900002,Clarke Energy,1,0,0
7592672,Electro-Mechanical,0,0,0
3843645,Wells,1,0,0
3843632,Miller Glass & Glazing Inc.,2,4,0
3843980,"Diversified Window Solutions, Inc.",1,0,0
3844074,"Paramount Consulting and Engineering, LLC",0,0,0
7637215,"GM&P Consulting and Glazing Contractors, Inc.",8,4,0
3842842,United Glass Metal Yapi,1,0,0
8252638,VoltaGrid,0,0,0
3844792,NV5,1,0,0
8014462,Kent Data Centers,1,0,0
8251114,Hamer,0,0,0
8020612,T5 Data Centers,1,0,0
3844196,Capilano Glass,1,0,0
3847862,Central States,1,0,0
8021670,Giga Energy,0,0,0
8252616,PROENERGY,0,0,0
3862008,Structure Tone,3,0,0
3848406,Flynn Construction Inc.,0,0,0
5260763,Clune Construction Company,0,0,0
3847001,Walls Construction Limited,1,0,0
3843328,CGC Inc.,0,0,0
3844715,Palomar Modular Buildings,1,2,0
3845135,Coreslab Structures,5,0,0
7984583,New Generation Group,0,0,0
3845681,Robertson Building Systems,2,0,0
4977164,Maple Sunscreening,0,0,0
8251343,TierPoint,0,0,0
7952536,AluK (GB) Ltd,0,0,0
3843537,Fortress Building Products,4,2,0
